GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper,AbstractLifecycleMojo,14,306,5,29,3,78,5,28,0,16
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper,ExecutionPlanMojo,0,67,0,2,0,20,0,8,0,7
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper,ExecutionPlanFileMojo,5,121,1,7,2,30,1,7,0,4
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper,ExecutionPlanFileMojo.FILE_FORMAT,0,9,0,0,0,2,0,1,0,1
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.utils,MavenUtils,0,20,0,2,0,6,0,3,0,2
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.utils,TextUtils,0,67,1,7,0,12,1,9,0,6
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.vo,MavenExecutionSummary,0,66,0,6,0,14,0,7,0,4
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.vo,MavenExecutionInfo,0,299,2,20,0,105,2,40,0,25
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.vo,MavenExecutionComparator,0,85,4,6,0,18,4,5,0,4
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.vo,MavenExecutionAttribute,2,197,2,8,1,41,2,16,0,13
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.vo,MavenExecutionPlanInfo,4,54,1,9,2,16,2,9,1,5
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.vo,MavenExecutionInfo.Builder,0,40,0,0,0,15,0,8,0,8
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.output,TxtOutput,0,107,0,4,0,30,0,15,0,13
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.output,CSVTable,0,91,2,6,0,22,2,6,0,4
Lifecycle Helper Maven Plugin,it.serendigity.maven.plugin.lifecycle.helper.output,TxtTable,0,292,3,23,0,67,3,25,0,15
